200,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,1
210,cZlXqWye06cOMXfwAAAD,1.00,8.75,-244.78,0
210,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,1
220,cZlXqWye06cOMXfwAAAD,1.00,12.92,-243.94,0
220,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,1
230,cZlXqWye06cOMXfwAAAD,1.00,17.08,-242.77,0
230,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,0
240,cZlXqWye06cOMXfwAAAD,1.00,18.00,-241.15,0
240,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,1
250,cZlXqWye06cOMXfwAAAD,1.00,18.00,-238.89,0
250,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,0
260,cZlXqWye06cOMXfwAAAD,1.00,18.00,-236.10,0
260,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,1
270,cZlXqWye06cOMXfwAAAD,1.00,18.00,-233.77,0
270,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,1
280,cZlXqWye06cOMXfwAAAD,0.00,16.53,-231.32,1
280,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,0
290,cZlXqWye06cOMXfwAAAD,0.00,15.20,-229.27,1
290,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,0
300,cZlXqWye06cOMXfwAAAD,0.00,13.73,-227.22,1
300,-tX7WPBVhnCSBh9tAAAF,1.00,4.17,-255.00,1
310,cZlXqWye06cOMXfwAAAD,0.00,12.40,-225.54,1
310,-tX7WPBVhnCSBh9tAAAF,1.00,9.17,-255.00,2
320,cZlXqWye06cOMXfwAAAD,0.00,11.07,-224.03,1
320,-tX7WPBVhnCSBh9tAAAF,1.00,13.75,-255.00,0
330,cZlXqWye06cOMXfwAAAD,0.00,9.73,-222.69,0
330,-tX7WPBVhnCSBh9tAAAF,1.00,18.00,-255.00,0
340,cZlXqWye06cOMXfwAAAD,0.00,8.40,-221.52,0
340,-tX7WPBVhnCSBh9tAAAF,1.00,18.00,-254.12,0
350,cZlXqWye06cOMXfwAAAD,0.00,6.93,-220.44,1
350,-tX7WPBVhnCSBh9tAAAF,1.00,18.00,-252.99,2
360,cZlXqWye06cOMXfwAAAD,0.00,5.60,-219.64,1
360,-tX7WPBVhnCSBh9tAAAF,1.00,18.00,-251.96,1
370,cZlXqWye06cOMXfwAAAD,0.00,4.13,-218.96,0
370,-tX7WPBVhnCSBh9tAAAF,1.00,18.00,-250.93,1
380,cZlXqWye06cOMXfwAAAD,0.00,2.80,-218.52,1
380,-tX7WPBVhnCSBh9tAAAF,1.00,18.00,-249.89,1
